Info 0    [18:53:49.737] Starting TS Server
Info 1    [18:53:49.737] Version: 4.7.4
Info 2    [18:53:49.738] Arguments: /usr/bin/node /usr/lib/node_modules/typescript/lib/tsserver.js --logFile /home/boss/Documents/Coding/TigersBackend/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/bb6807a1dad0a8c2f883b0bf34836751/tscancellation*
Info 3    [18:53:49.738] Platform: linux NodeVersion: 18 CaseSensitive: true
Info 4    [18:53:49.738] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:53:49.758] Format host information updated
Info 6    [18:53:49.774] Search path: /home/boss/Documents/Coding/TigersBackend
Info 7    [18:53:49.775] For info: /home/boss/Documents/Coding/TigersBackend/index.js :: No config files found.
Info 8    [18:53:49.782] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [18:53:51.849] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2066.1377879995853ms
Info 10   [18:53:51.849] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [18:53:51.849] 	Files (159)

Info 12   [18:53:51.850] -----------------------------------------------
Info 13   [18:53:51.873] AutoImportProviderProject: found 7 root files in 7 dependencies in 20.564639000222087 ms
Info 14   [18:53:51.875] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [18:53:52.705] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 829.1306360000744ms
Info 16   [18:53:52.705] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [18:53:52.706] 	Files (392)

Info 18   [18:53:52.706] -----------------------------------------------
Info 19   [18:53:52.764] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [18:53:52.845] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 80.36845900025219ms
Info 21   [18:53:52.846] Different program with same set of files
Info 22   [18:53:54.271] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [18:53:54.317] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 45.10077599994838ms
Info 24   [18:53:54.317] Different program with same set of files
Info 25   [18:53:54.677] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [18:53:54.715] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 37.32079900056124ms
Info 27   [18:53:54.715] Different program with same set of files
Info 28   [18:53:55.004] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [18:53:55.040] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 35.29674299992621ms
Info 30   [18:53:55.040] Different program with same set of files
Info 31   [18:53:55.265] Before ensureProjectForOpenFiles:
Info 32   [18:53:55.265] After ensureProjectForOpenFiles:
Info 33   [18:53:55.266] got projects updated in background, updating diagnostics for /home/boss/Documents/Coding/TigersBackend/index.js
Info 34   [18:53:55.557] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [18:53:55.590] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 32.51362999994308ms
Info 36   [18:53:55.590] Different program with same set of files
Info 37   [18:53:58.773] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
